rate,role,word
154,A,anh minh
15,N,anh nuôi
276,N,anh trai
15,N,anh túc
88,N,anh vũ
1,A,anh ách
1,A,anh ánh
1,N,anh đào
1,N,anode
1,N,anopheles
1,N,antenna
1,N,antimony
1,N,ao
1,N,ao chuôm
1,N,ao tù
1,V,ao ước
1,N,apartheid
1,N,apatite
1,N,are
1,N,arsenic
1,N,atlas
1,N,atmosphere
1,A,au
1,N,audio
1,N,automat
1,N-M,ba
1,N,ba ba
1,M,ba bảy
1,N,ba bị
1,M,ba bốn
1,N,ba chỉ
1,U,ba cùng
1,N,ba giăng
1,N,ba gác
1,N,ba gạc
1,V,ba hoa
1,N,ba khía
1,U,ba không
1,N,ba kích
1,N,ba lá
1,N,ba lê
1,N,ba lô
1,N,ba lông
1,A,ba lăng nhăng
1,N,ba má
1,A,ba phải
1,A,ba que
1,N,ba quân
1,N,ba rem
1,N-A,ba rọi
1,N,ba sinh
1,N,ba soi
1,N,ba tháng
1,N,ba toong
1,A,ba vạ
1,A,ba xu
1,N,ba đậu
1,N-V,bai
1,A,bai bải
1,N,bakelite
1,N,ballast
1,N-V,ban
1,N,ban bí thư
1,N,ban bệ
1,V,ban bố
1,N,ban chấp hành
1,N,ban công
1,N,ban giám hiệu
1,V,ban hành
1,N,ban mai
1,N,ban miêu
1,N,ban ngành
1,N,ban ngày
1,N,ban nãy
1,V,ban phát
1,V,ban tặng
1,N,ban đêm
1,N,ban đầu
1,V,ban ơn
1,N,bang
1,V,bang giao
1,N-V-A,banh
1,N,banjo
1,N-V,bao
1,V,bao biện
1,N,bao bì
1,V,bao bọc
1,N,bao bố
1,N,bao cao su
1,V,bao che
1,V,bao cấp
65,A,bao dung
3066,P,bao giờ
6,V,bao gói
1090,V,bao gồm
1,N,bao hoa
1,V,bao hàm
130,A,bao la
1,P,bao lâu
1,P,bao lăm
9,N,bao lơn
3,V,bao mua
2696,P,bao nhiêu
1,N,bao phấn
226,V,bao phủ
50,V,bao quát
4,V,bao sân
1,N,bao tay
1,N,bao thơ
1,V,bao thầu
4,V,bao tiêu
328,V,bao trùm
1,N,bao tải
1,N,bao tời
13,N,bao tử
339,V,bao vây
1,U,bao vây kinh tế
38,A,bao xa
1,N,bar
1,N,barie
1,N,barrel
1,N,basalt
1,N,base
1,N-R-V,bay
1,V-R,bay biến
1,A,bay bướm
1,V,bay bổng
1,V,bay hơi
1,V,bay lượn
1,V,bay nhảy
1,N,bazooka
1,N-V-A,be
1,V,be be
1,A,be bé
1,A,be bét
1,N,benzene
1,N-A-V,beo
1,A,beo béo
1,N,beta
1,N-A,bi
1,N,bi a
1,A,bi ai
1,V,bi ba bi bô
1,V,bi bô
1,N,bi ca
1,N,bi chí
1,N,bi da
1,N,bi hài kịch
1,A,bi hùng
1,N,bi khúc
1,N,bi kí
1,N,bi ký
1,N,bi kịch
1,A,bi luỵ
1,N,bi lắc
1,V,bi phẫn
1,A,bi quan
1,A,bi thương
1,A,bi thảm
1,A,bi tráng
1,N,bi ve
1,A,bi đát
1,N,bi đình
1,N,bi đông
1,N,bia
1,N,bia bọt
1,N,bia chai
1,N,bia hơi
1,N,bia lon
1,N,bia miệng
1,N,bia tươi
1,N,bia ôm
1,N,bia đỡ đạn
1,N,big bang
1,N-V,binh
1,N,binh biến
1,N,binh bị
1,N,binh chủng
1,N,binh công xưởng
1,N,binh khí
1,N,binh lính
1,N,binh lược
1,N,binh lửa
1,N,binh lực
1,N,binh mã
1,N,binh nhì
1,N,binh nhất
1,N,binh pháp
1,N,binh quyền
1,N,binh sĩ
1,N,binh thư
1,N,binh trạm
1,N,binh tình
1,V,binh vận
1,N,binh đoàn
1,N,binh đội
1,N,biogas
1,N,bismuth
1,N,bit
1,N,bitum
1,N-V,biên
1,N,biên bản
1,V-N,biên chế
1,N,biên cương
1,V,biên dịch
1,N,biên giới
1,V-N,biên kịch
1,N,biên lai
1,V,biên nhận
1,N,biên niên sử
1,V,biên phòng
1,V,biên soạn
1,N,biên thuỳ
1,V,biên tập
1,N,biên tập viên
1,V,biên đạo
1,N,biên độ
1,N,biên đội
1,N,biên ải
1,A,biêng biếc
1,A,biếc
1,N,biếm hoạ
1,V-R-N,biến
1,V,biến báo
1,	,biến chuyể
1,V,biến chất
1,N,biến chủng
1,N-V,biến chứng
1,V,biến cách
1,N,biến cố
1,V-N,biến dạng
1,V,biến dị
1,V,biến dịch
1,V,biến hoá
1,V-A,biến hình
1,N,biến loạn
1,V,biến sắc
1,N,biến số
1,V,biến thiên
1,N,biến thái
1,V-N,biến thế
1,N,biến thể
1,N,biến trở
1,A-N,biến tướng
1,V,biến tấu
1,V,biến tốc
1,N,biến áp
1,V-N,biến âm
1,V,biến điệu
1,V-N,biến đổi
1,V-N,biến động
1,A,biếng
1,A,biếng nhác
1,V,biết
1,R,biết bao
1,R,biết bao nhiêu
1,R,biết chừng nào
1,R,biết mấy
1,V,biết nghĩ
1,V,biết tay
1,V,biết thóp
1,V,biết tỏng
1,V,biết tỏng tòng tong
1,A,biết điều
1,R,biết đâu
1,U-Y,biết đâu đấy
1,V,biết ơn
1,V,biếu
1,V,biếu xén
1,N,biền
1,A,biền biệt
1,A,biền ngẫu
1,N,biển
1,N,biển báo
1,N,biển cả
1,N,biển hiệu
1,N,biển hồ
1,V,biển thủ
1,N-V,biểu
1,N,biểu bì
1,V,biểu cảm
1,V,biểu diễn
1,V,biểu dương
1,V-N,biểu hiện
1,A,biểu kiến
1,V,biểu lộ
1,N,biểu mẫu
1,N,biểu ngữ
1,V-N,biểu quyết
1,N,biểu thuế
1,V,biểu thị
1,N,biểu thống kê
1,N,biểu thức
1,V-N,biểu trưng
1,V,biểu tình
1,N,biểu tượng
1,V,biểu đạt
1,N,biểu đồ
1,V,biện
1,V,biện bác
1,V,biện bạch
1,A,biện chứng
1,V,biện giải
1,V,biện hộ
1,V,biện luận
1,N,biện lí
1,N,biện lý
1,V,biện minh
1,N,biện pháp
1,A,biệt
1,N,biệt danh
1,N,biệt dược
1,N,biệt hiệu
1,N-V,biệt kích
1,V,biệt li
1,V,biệt ly
1,V,biệt lập
1,A,biệt mù
1,V-A,biệt phái
1,N,biệt thự
1,N,biệt tài
1,A,biệt tích
1,A,biệt tăm
1,A,biệt xứ
1,V,biệt đãi
1,A,biệt động
1,N,biệt động quân
1,N,biệt động đội
1,N,bloc
1,N,blog
1,N,blốc
1,V,bo
1,N-A,bo bo
1,N,bo mạch
1,N,bo mạch chủ
1,V,boa
1,N,bobbin
1,N,bom
1,N,bom H
1,N,bom ba càng
1,N,bom bay
1,N,bom bi
1,N,bom bươm bướm
1,N,bom chìm
1,N,bom hoá học
1,N,bom khinh khí
1,N,bom lân tinh
1,N,bom napalm
1,N,bom nguyên tử
1,N,bom nổ chậm
1,N,bom phóng
1,N,bom thư
1,N,bom từ trường
1,N,bom xăng
1,N,bom đạn
1,V-A,bon
1,A,bon bon
1,V,bon chen
1,V,bong
1,N,bong bóng
1,V,bong gân
1,N-A,boong
1,A,boong boong
1,N,bowling
1,N,box
1,A,boóng
1,N,brom
1,N,bromure bạc
1,N-V,bu
1,N,bu lu
1,N,bu lông
1,N,bua
1,N,buji
1,N-V,bung
1,A,bung búng
1,A,bung bủng
1,N,bung xung
1,N,bunker
1,N-V,buôn
1,A,buôn buốt
1,V,buôn bán
1,V,buôn chuyến
1,V,buôn hàng xách
1,N,buôn làng
1,V,buôn lậu
1,V,buôn nước bọt
1,V,buông
1,V,buông lơi
1,V,buông lỏng
1,V,buông tha
1,V,buông thõng
1,V,buông thả
1,V,buông trôi
1,A,buông tuồng
1,V,buông xuôi
1,V,buông xõng
1,A,buốt
1,N,buồm
1,A-V,buồn
1,A,buồn bã
1,A,buồn bực
1,A,buồn cười
1,A,buồn hiu
1,A,buồn ngủ
1,A,buồn nôn
1,A,buồn phiền
1,A,buồn rười rượi
1,A,buồn rượi
1,A,buồn rầu
1,A,buồn teo
1,A,buồn thiu
1,A,buồn thảm
1,A,buồn tênh
1,A,buồn tình
1,A,buồn tẻ
1,A,buồn tủi
1,A,buồn xo
1,V,buồn đau
1,N-L,buồng
1,N,buồng lái
1,N,buồng máy
1,N,buồng trứng
1,N,buồng tối
1,N,buổi
1,N,buổi mai
1,V,buộc
1,A,buộc lòng
1,V,buộc tội
1,V,buột
1,V,buột miệng
1,V,buột tay
1,N,byte
1,N-L,bà
1,N,bà ba
1,N,bà chúa
1,N,bà con
1,N,bà cô
1,N,bà cốt
1,N,bà gia
1,N,bà già
1,N,bà mụ
1,N,bà nguyệt
1,N,bà phước
1,N,bà trẻ
1,N,bà xã
1,N,bà xơ
1,N-L,bài
1,V,bài bác
1,N,bài bây
1,N,bài bông
1,N,bài bạc
1,N-A,bài bản
1,N,bài chòi
1,N,bài học
1,N,bài khoá
1,N,bài làm
1,N,bài mục
1,V,bài ngoại
1,N,bài thuốc
1,V,bài tiết
1,N,bài toán
1,N,bài trung
1,V,bài trí
1,V,bài trừ
1,N,bài tính
1,N,bài tập
1,N,bài vị
1,N,bài vở
1,V,bài xích
1,N-V,bàn
1,V,bàn bạc
1,N,bàn chân
1,N,bàn chông
1,N,bàn chải
1,N-A,bàn cuốc
1,V,bàn cãi
1,N,bàn cờ
1,V,bàn giao
1,N,bàn giấy
1,V,bàn luận
1,N,bàn là
1,N,bàn là hơi
1,V,bàn lùi
1,N,bàn máy
1,V,bàn mảnh
1,N,bàn phím
1,V,bàn ra
1,N,bàn ren
1,N,bàn rà
1,V,bàn soạn
1,N,bàn tay
1,U,bàn tay vàng
1,V,bàn thảo
1,N,bàn thắng bạc
1,N,bàn thắng vàng
1,N,bàn thờ
1,N,bàn trổ
1,V,bàn tán
1,N-V,bàn tính
1,N,bàn đèn
1,N,bàn đạc
1,N,bàn đạp
1,V,bàn định
1,N,bàn ủi
1,N,bàng
1,A-V,bàng bạc
1,A,bàng hoàng
1,N,bàng hệ
1,V,bàng quan
1,N,bàng quang
1,A,bàng tiếp
1,N-A,bành
1,A,bành bạnh
1,V,bành trướng
1,N,bành tô
2010,N-V,bào
1,A,bào bọt
33,V,bào chế
1,N,bào chế học
148,V,bào chữa
21,V,bào mòn
13,N,bào ngư
40,N,bào thai
1,N,bào tộc
6,N,bào tử
1,N,bào tử nang
1,N,bào xoi
1,N,bào xác
1,N,bàu
1,A,bàu bạu
1,V,bày
1,V,bày biện
1,V,bày tỏ
1,A,bày vai
1,V,bày vẽ
1,V,bày đặt
1,N,bá
1,N,bá chủ
1,N,bá hộ
1,N,bá quyền
1,N,bá trạo
1,N,bá tước
1,A,bá vơ
1,N,bá vương
1,N-L-V,bác
1,V,bác bỏ
1,N-A,bác học
1,N,bác sĩ
1,A,bác ái
1,N-S,bách
1,N,bách bệnh
1,A,bách bổ
1,V,bách bộ
1,N,bách diệp
1,N,bách hoá
1,N,bách hợp
1,N,bách khoa
1,N,bách khoa thư
1,N,bách nhật
1,V,bách phân
1,N,bách thanh
1,N,bách thú
1,N,bách thảo
1,N,bách tán
1,V,bái
1,V,bái kiến
1,V,bái phục
1,N,bái vật giáo
1,A,bái xái
1,N,bái đường
1,V,bám
1,V,bám càng
1,V,bám trụ
1,V-S,bán
1,V,bán buôn
1,N,bán bình nguyên
1,V,bán chác
1,V,bán chạy
1,V,bán chịu
1,A,bán công
1,A,bán công khai
1,N,bán cầu
1,N,bán cầu não
1,V,bán dâm
1,V,bán dạo
1,A,bán dẫn
1,V,bán hoa
1,V,bán hoá giá
1,N,bán hạ
1,A,bán khai
1,N,bán kính
1,N,bán kết
1,V,bán lẻ
1,R,bán mạng
1,N,bán nguyên âm
1,N,bán nguyệt
1,N,bán nguyệt san
1,V,bán non
1,V,bán nước
1,V,bán phá giá
1,N,bán phụ âm
1,V,bán rao
1,V,bán rong
1,N,bán sơn địa
1,V,bán sỉ
1,N,bán thành phẩm
1,V,bán tháo
1,N,bán thân
1,A,bán trú
1,V,bán trả dần
1,V,bán trả góp
1,V,bán tống
1,A,bán tự động
1,A,bán vũ trang
1,V,bán xới
1,N,bán đảo
1,V,bán đấu giá
1,V,bán độ
1,V,bán đứng
1,N-V,báng
1,V,báng bổ
1,N-L,bánh
1,N,bánh bao
1,N,bánh bàng
1,N,bánh bèo
1,N,bánh bò
1,N,bánh bỏng
1,N,bánh canh
1,N,bánh chay
1,N,bánh chè
1,N,bánh chưng
1,N,bánh chả
1,N,bánh cuốn
1,N,bánh cáy
1,N,bánh cắt
1,N,bánh cốm
1,N,bánh dẻo
1,N,bánh gai
1,N,bánh gio
1,N,bánh giò
1,N,bánh giầy
1,N,bánh gối
1,N,bánh hỏi
1,N,bánh in
1,N,bánh khoai
1,N,bánh khoái
1,N,bánh khúc
1,N,bánh khảo
1,N,bánh lái
1,N,bánh mì
1,N,bánh mì gối
1,N,bánh mướt
1,N-A,bánh mật
1,N,bánh nướng
1,N,bánh nậm
1,N,bánh nếp
1,N,bánh phồng
1,N,bánh phồng tôm
1,N,bánh phở
1,N,bánh quy
1,N,bánh quế
1,N,bánh rán
1,N,bánh răng
1,N,bánh tai voi
1,N,bánh thánh
1,N,bánh tro
1,N,bánh trung thu
1,N,bánh trái
1,N,bánh tráng
1,N,bánh trôi
1,N,bánh tày
1,N,bánh tét
1,N,bánh tôm
1,A,bánh tẻ
1,N,bánh tẻ
1,N,bánh tổ
1,N,bánh vít
1,N,bánh vẽ
1,N,bánh xe
1,N,bánh xèo
1,N,bánh ít
1,N,bánh ú
1,N,bánh ú tro
1,N,bánh đa
1,N,bánh đa nem
1,N,bánh đai
1,N,bánh đà
1,N,bánh đúc
1,N,bánh đậu xanh
1,N,bánh ướt
1,N,bánh ếch
1,N-V,báo
1,N,báo biểu
1,N,báo chí
1,V-N,báo cáo
1,N,báo cáo viên
1,V,báo công
1,V,báo danh
1,V,báo giá
1,V,báo hiếu
1,V,báo hiệu
1,N,báo hình
1,V,báo hại
1,V,báo hỉ
1,V,báo hỷ
1,N,báo liếp
1,V,báo mộng
1,N,báo nói
1,V,báo oán
1,V,báo tang
1,V,báo thù
1,V,báo thức
1,N,báo tường
1,V,báo tử
1,N,báo viết
1,N,báo vụ
1,N,báo vụ viên
1,V,báo yên
1,V,báo ân
1,N,báo điện tử
1,V,báo đáp
1,V,báo động
1,V,báo ơn
1,N,báo ảnh
1,V,báo ứng
1,N-V,bát
1,N,bát chậu
1,N,bát chữ
1,N,bát cú
1,N,bát cổ
1,N,bát diện
1,N,bát giác
1,N,bát hương
1,N,bát mẫu
1,A,bát ngát
1,A,bát nháo
1,N,bát quái
1,N,bát sách
1,N,bát tiên
1,N,bát âm
1,N,bát ô tô
1,N,bát đàn
1,A,báu
1,N,báu vật
1,A,bâng khuâng
1,A,bâng lâng
1,A,bâng quơ
1,N-V,bâu
1,V-P,bây
1,P,bây chừ
1,P,bây giờ
1,P,bây nhiêu
1,N-A,bã
1,N,bã trầu
1,N-L,bãi
1,V,bãi bỏ
1,V,bãi chợ
1,N,bãi cá
1,V,bãi khoá
1,V,bãi miễn
1,V,bãi nhiệm
1,V,bãi nại
1,N,bãi thải
1,V,bãi thực
1,N,bãi tập
1,N,bãi tắm
1,N,bão
1,N,bão bùng
1,N,bão cát
1,N,bão dông
1,A,bão hoà
1,N,bão rớt
1,N,bão tuyết
1,N,bão táp
1,N,bão tố
1,N,bão từ
1,N-L-A,bè
1,A,bè bè
1,N,bè bạn
1,N,bè cánh
1,N,bè lũ
1,N-A,bè phái
1,N,bè đảng
1,R,bèn
1,A,bèn bẹt
1,N-A,bèo
1,N,bèo Nhật Bản
1,N-A,bèo bọt
1,N,bèo cái
1,N,bèo cám
1,N,bèo dâu
1,N,bèo hoa dâu
1,N,bèo lục bình
1,A,bèo nhèo
1,N,bèo ong
1,N,bèo tây
1,N,bèo tấm
1,A-N,bé
1,A,bé bỏng
1,N-A,bé con
1,U,bé cái lầm
1,A,bé hoẻn
1,U,bé hạt tiêu
1,A,bé mọn
1,A,bé nhỏ
1,N,béc giê
1,V-A,bén
1,V,bén mảng
1,A,bén ngót
1,R,béng
1,V-A,béo
1,A,béo bở
1,A,béo múp
1,A,béo mỡ
1,A,béo nung núc
1,A,béo núc
1,A,béo quay
1,A,béo tốt
1,V,bép xép
1,A,bét
1,A,bét be
1,A,bét nhè
1,A,bét tĩ
1,N-V,bê
1,A,bê bết
1,A,bê bối
1,N,bê rê
1,V-A,bê tha
1,V,bê trễ
1,N,bê tông
1,N,bê tông cốt sắt
1,N,bê tông cốt thép
1,N,bên
1,N,bên bị
1,N,bên nguyên
1,V,bênh
1,V,bênh vực
1,V,bêu
1,V,bêu nắng
1,V,bêu riếu
1,V,bêu xấu
1,N-V-A,bì
1,A,bì bà bì bõm
1,A,bì bì
1,A,bì bõm
1,A,bì bạch
1,N,bì khổng
1,A,bì sị
1,N,bì thư
1,N,bìa
1,N,bìa giả
1,N,bìa trong
1,N,bìm
1,N,bìm bìm
1,N,bìm bịp
1,N-A-V,bình
1,N,bình bán
1,N,bình bát
1,N-V,bình bản
1,V,bình bầu
1,N-A,bình bịch
1,V,bình chọn
1,V,bình công
1,U,bình công chấm điểm
1,N,bình cầu
1,N-A,bình dân
1,U,bình dân học vụ
1,A,bình dị
1,V,bình giá
1,V,bình giải
1,V,bình luận
1,N,bình luận viên
1,A,bình lặng
1,N,bình minh
1,V,bình nghị
1,N,bình nguyên
1,N,bình ngưng
1,N,bình nóng lạnh
1,N,bình phong
1,N-V,bình phương
1,V,bình phẩm
1,V,bình phục
1,A,bình quyền
1,A,bình quân
1,V,bình sai
1,N,bình sinh
1,N,bình thuỷ
1,V,bình thân
1,N,bình thông nhau
1,A,bình thường
1,V,bình thường hoá
1,A,bình thản
1,N,bình toong
1,V,bình tâm
1,N,bình tích
1,A,bình tĩnh
1,N,bình vôi
1,V,bình xét
1,N,bình xịt
1,A,bình yên
1,N,bình điện
1,A,bình đẳng
1,N,bình địa
1,V,bình ổn
1,N,bìu
1,N,bìu dái
1,V,bìu díu
1,N-A,bí
1,A,bí bách
1,A,bí bét
1,N,bí danh
1,A-N,bí hiểm
1,A-N,bí mật
1,U,bí mật nhà nghề
1,N,bí ngô
1,N,bí phấn
1,N,bí quyết
1,A,bí rì
1,N,bí rợ
1,N,bí số
1,N,bí thơ
1,N,bí thư
1,A,bí truyền
1,R,bí tỉ
1,N,bí đao
1,N,bí đỏ
1,A-N,bí ẩn
1,N,bí ử
1,N,bích
1,N,bích báo
1,N,bích cốt
1,N,bích hoạ
1,N,bích quy
1,N,bím
1,N,bính
1,N,bíp tết
1,V,bít
1,A,bít bùng
1,N,bít cốt
1,N,bít tất
1,N,bít đốc
1,V,bíu
1,N-V,bò
1,N,bò biển
1,N,bò cạp
1,N,bò hóc
1,N,bò sát
1,N,bò tót
1,N,bò u
8,V,bòn
1,N,bòn bon
1,V,bòn mót
1,V,bòn rút
21,N,bòng
14,N,bòng bong
1,N,bòng bòng
1,V-L,bó
1,V,bó buộc
1,V,bó chiếu
1,V,bó cẳng
1,V,bó gối
1,V,bó hẹp
1,V,bó rọ
1,V,bó tay
1,V,bó trát
1,V,bó tròn
1,V,bóc
1,V,bóc lột
1,V,bóc tem
1,V,bóc trần
1,V,bói
1,N,bói cá
1,U,bói không ra
1,V,bói toán
1,U,bói đâu ra
1,V-A,bón
1,V,bón lót
1,V,bón thúc
1,V,bón đón đòng
11633,N-A,bóng
66,N,bóng bay
1,N,bóng bàn
1,N,bóng bán dẫn
1,N,bóng bì
43,N,bóng bầu dục
1,A,bóng bẩy
1,N,bóng chuyền
1,N,bóng chày
241,N,bóng dáng
1,A,bóng dợn
1,A,bóng gió
1,A,bóng loáng
1,A,bóng láng
1,A,bóng lộn
1,N,bóng ma
1,N,bóng mát
1,A,bóng nhoáng
1,N,bóng ném
1,N,bóng nước
1,N,bóng nửa tối
1,N,bóng râm
1,N,bóng rổ
1,N,bóng thám không
1,N,bóng tối
1,N,bóng vía
1,N,bóng điện
1,N,bóng điện tử
1,N,bóng đá
1,N,bóng đá mini
1,N,bóng đè
1,N-V,bóp
1,V,bóp bụng
1,V,bóp chẹt
1,V,bóp chết
1,V,bóp cổ
1,V,bóp họng
1,V,bóp miệng
1,V,bóp méo
1,V,bóp mũi
1,V,bóp mồm
1,V,bóp nghẹt
1,V,bóp nặn
1,V,bóp trán
1,V,bóp óc
1,N,bót
1,N,bô
1,A,bô bô
1,N,bô lão
1,A,bô lô ba la
1,V,bô đê
1,V,bôi
1,V,bôi bác
1,V,bôi nhọ
1,V,bôi trơn
1,V,bôi đen
1,A,bôm bốp
1,V,bôn ba
1,N-A,bôn sê vích
1,N-V-A-L,bông
1,N,bông bụt
1,N,bông gòn
1,V,bông lơn
1,V,bông phèng
1,N,bông tai
1,N,bông thùa
1,N,bông thấm nước
1,N,bông tiêu
1,N,bông đá
1,V,bông đùa
1,N-V,bõ
1,A,bõ bèn
1,V-A,bù
1,V,bù giá
1,V,bù khú
1,N,bù loong
1,V,bù lỗ
1,N,bù nhìn
1,V,bù trừ
1,A,bù xù
1,A,bù đầu
1,V,bù đắp
1,N,bùa
1,N,bùa chú
1,N,bùa cứu mạng
1,N,bùa hộ mệnh
1,N,bùa hộ thân
1,N,bùa yêu
1,N-A,bùi
1,A,bùi ngùi
1,N,bùi nhùi
1,A,bùi tai
1,N,bùn
1,N,bùn hoa
1,N,bùn lầy
1,N,bùn nhơ
1,N,bùn non
1,V,bùng
1,N,bùng binh
1,A,bùng bùng
1,A,bùng bục
1,A,bùng nhùng
1,V,bùng nổ
1,N,bùng nổ dân số
1,V,bùng phát
1,V,bú
1,N,bú dù
1,V,bú mớm
1,N,búa
1,N,búa chèn
1,N,búa chém
1,N,búa gió
1,N,búa rìu
1,N,búa tạ
1,N,búa đanh
1,N,búa đinh
1,N-V-A,búi
1,N,búi rễ
1,N,búi tó
1,N,bún
1,N,bún bò
1,N,bún chả
1,N,bún thang
1,N,bún tàu
1,V-N,búng
1,N,búng báng
1,U,búng ra sữa
1,N-L,búp
1,N,búp bê
1,N,búp phê
1,N,bút
1,N,bút bi
1,V,bút chiến
1,N,bút chì
1,N,bút chổi
1,N,bút danh
1,N,bút dạ
1,N,bút hiệu
1,N,bút kí
1,N,bút lông
1,N,bút lục
1,N,bút lực
1,N,bút máy
1,N,bút pháp
1,N,bút toán
1,N,bút tích
1,N,bút điện
1,V,bút đàm
1,N-V,băm
1,V,băm bổ
1,V,băm vằm
1,A,băn khoăn
1,N-L-V-R-A,băng
1,V,băng bó
1,N,băng ca
1,N,băng chuyền
1,N,băng dính
1,N-A-V,băng giá
1,A,băng hoại
1,N,băng huyết
1,N,băng hà
1,N,băng hình
1,N,băng keo
1,N,băng lăn
